bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	Library
PRJNA518082	oro161335	oro161335	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161335_L001_R1_001.fastq.gz	oro161335_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161336	oro161336	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161336_L001_R1_001.fastq.gz	oro161336_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161337	oro161337	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161337_L001_R1_001.fastq.gz	oro161337_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161338	oro161338	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161338_L001_R1_001.fastq.gz	oro161338_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161339	oro161339	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161339_L001_R1_001.fastq.gz	oro161339_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161340	oro161340	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161340_L001_R1_001.fastq.gz	oro161340_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161341	oro161341	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161341_L001_R1_001.fastq.gz	oro161341_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161342	oro161342	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161342_L001_R1_001.fastq.gz	oro161342_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161343	oro161343	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161343_L001_R1_001.fastq.gz	oro161343_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161344	oro161344	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161344_L001_R1_001.fastq.gz	oro161344_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161345	oro161345	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161345_L001_R1_001.fastq.gz	oro161345_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161346	oro161346	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161346_L001_R1_001.fastq.gz	oro161346_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161347	oro161347	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161347_L001_R1_001.fastq.gz	oro161347_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161348	oro161348	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161348_L001_R1_001.fastq.gz	oro161348_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161349	oro161349	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161349_L001_R1_001.fastq.gz	oro161349_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161350	oro161350	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161350_L001_R1_001.fastq.gz	oro161350_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161351	oro161351	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161351_L001_R1_001.fastq.gz	oro161351_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161352	oro161352	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161352_L001_R1_001.fastq.gz	oro161352_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161353	oro161353	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161353_L001_R1_001.fastq.gz	oro161353_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161354	oro161354	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161354_L001_R1_001.fastq.gz	oro161354_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161355	oro161355	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161355_L001_R1_001.fastq.gz	oro161355_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161356	oro161356	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161356_L001_R1_001.fastq.gz	oro161356_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161357	oro161357	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161357_L001_R1_001.fastq.gz	oro161357_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161358	oro161358	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161358_L001_R1_001.fastq.gz	oro161358_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161360	oro161360	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161360_L001_R1_001.fastq.gz	oro161360_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161361	oro161361	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161361_L001_R1_001.fastq.gz	oro161361_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161362	oro161362	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161362_L001_R1_001.fastq.gz	oro161362_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161363	oro161363	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161363_L001_R1_001.fastq.gz	oro161363_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161364	oro161364	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161364_L001_R1_001.fastq.gz	oro161364_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161365	oro161365	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161365_L001_R1_001.fastq.gz	oro161365_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161366	oro161366	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161366_L001_R1_001.fastq.gz	oro161366_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161367	oro161367	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161367_L001_R1_001.fastq.gz	oro161367_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161368	oro161368	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161368_L001_R1_001.fastq.gz	oro161368_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161369	oro161369	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161369_L001_R1_001.fastq.gz	oro161369_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161435	oro161435	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161435_L001_R1_001.fastq.gz	oro161435_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161436	oro161436	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161436_L001_R1_001.fastq.gz	oro161436_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161437	oro161437	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161437_L001_R1_001.fastq.gz	oro161437_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161438	oro161438	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161438_L001_R1_001.fastq.gz	oro161438_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161439	oro161439	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161439_L001_R1_001.fastq.gz	oro161439_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161440	oro161440	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161440_L001_R1_001.fastq.gz	oro161440_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161441	oro161441	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161441_L001_R1_001.fastq.gz	oro161441_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161442	oro161442	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161442_L001_R1_001.fastq.gz	oro161442_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161443	oro161443	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161443_L001_R1_001.fastq.gz	oro161443_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161444	oro161444	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161444_L001_R1_001.fastq.gz	oro161444_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161445	oro161445	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161445_L001_R1_001.fastq.gz	oro161445_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161447	oro161447	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161447_L001_R1_001.fastq.gz	oro161447_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161448	oro161448	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161448_L001_R1_001.fastq.gz	oro161448_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161449	oro161449	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161449_L001_R1_001.fastq.gz	oro161449_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161450	oro161450	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161450_L001_R1_001.fastq.gz	oro161450_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161451	oro161451	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161451_L001_R1_001.fastq.gz	oro161451_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161452	oro161452	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161452_L001_R1_001.fastq.gz	oro161452_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161453	oro161453	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161453_L001_R1_001.fastq.gz	oro161453_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161454	oro161454	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161454_L001_R1_001.fastq.gz	oro161454_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161455	oro161455	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161455_L001_R1_001.fastq.gz	oro161455_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161457	oro161457	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161457_L001_R1_001.fastq.gz	oro161457_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161458	oro161458	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161458_L001_R1_001.fastq.gz	oro161458_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161459	oro161459	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161459_L001_R1_001.fastq.gz	oro161459_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161461	oro161461	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161461_L001_R1_001.fastq.gz	oro161461_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161462	oro161462	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161462_L001_R1_001.fastq.gz	oro161462_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161463	oro161463	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161463_L001_R1_001.fastq.gz	oro161463_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161464	oro161464	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161464_L001_R1_001.fastq.gz	oro161464_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161465	oro161465	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161465_L001_R1_001.fastq.gz	oro161465_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161466	oro161466	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161466_L001_R1_001.fastq.gz	oro161466_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161467	oro161467	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161467_L001_R1_001.fastq.gz	oro161467_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161468	oro161468	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161468_L001_R1_001.fastq.gz	oro161468_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161470	oro161470	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161470_L001_R1_001.fastq.gz	oro161470_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161471	oro161471	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161471_L001_R1_001.fastq.gz	oro161471_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161472	oro161472	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161472_L001_R1_001.fastq.gz	oro161472_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161473	oro161473	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161473_L001_R1_001.fastq.gz	oro161473_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161474	oro161474	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161474_L001_R1_001.fastq.gz	oro161474_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161475	oro161475	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161475_L001_R1_001.fastq.gz	oro161475_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161476	oro161476	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161476_L001_R1_001.fastq.gz	oro161476_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161477	oro161477	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161477_L001_R1_001.fastq.gz	oro161477_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161478	oro161478	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161478_L001_R1_001.fastq.gz	oro161478_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161479	oro161479	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161479_L001_R1_001.fastq.gz	oro161479_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161480	oro161480	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161480_L001_R1_001.fastq.gz	oro161480_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161481	oro161481	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161481_L001_R1_001.fastq.gz	oro161481_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161484	oro161484	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161484_L001_R1_001.fastq.gz	oro161484_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161485	oro161485	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161485_L001_R1_001.fastq.gz	oro161485_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161486	oro161486	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161486_L001_R1_001.fastq.gz	oro161486_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161487	oro161487	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161487_L001_R1_001.fastq.gz	oro161487_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161488	oro161488	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161488_L001_R1_001.fastq.gz	oro161488_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161489	oro161489	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161489_L001_R1_001.fastq.gz	oro161489_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161490	oro161490	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161490_L001_R1_001.fastq.gz	oro161490_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161491	oro161491	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161491_L001_R1_001.fastq.gz	oro161491_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161492	oro161492	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161492_L001_R1_001.fastq.gz	oro161492_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161493	oro161493	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161493_L001_R1_001.fastq.gz	oro161493_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161494	oro161494	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161494_L001_R1_001.fastq.gz	oro161494_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161495	oro161495	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161495_L001_R1_001.fastq.gz	oro161495_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161496	oro161496	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161496_L001_R1_001.fastq.gz	oro161496_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161497	oro161497	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161497_L001_R1_001.fastq.gz	oro161497_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161498	oro161498	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161498_L001_R1_001.fastq.gz	oro161498_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161499	oro161499	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161499_L001_R1_001.fastq.gz	oro161499_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161500	oro161500	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161500_L001_R1_001.fastq.gz	oro161500_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161501	oro161501	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161501_L001_R1_001.fastq.gz	oro161501_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161502	oro161502	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161502_L001_R1_001.fastq.gz	oro161502_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161503	oro161503	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161503_L001_R1_001.fastq.gz	oro161503_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161504	oro161504	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161504_L001_R1_001.fastq.gz	oro161504_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161506	oro161506	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161506_L001_R1_001.fastq.gz	oro161506_L001_R2_001.fastq.gz	libA
PRJNA518082	oro161507	oro161507	COI amplicons from bat guano	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	COI amplicons generated from ANML primer pair	fastq	oro161507_L001_R1_001.fastq.gz	oro161507_L001_R2_001.fastq.gz	libA
